City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,stourport-on-severn,52.35,-2.2667,65.14,65,94,6.62,GB,1693418009
289,badger,64.8,-147.5333,53.98,92,75,3.44,US,1693418009
290,plast,54.3691,60.8136,45.14,92,74,10.78,RU,1693417756
291,belyy yar,53.6039,91.3903,64.29,82,0,0.0,RU,1693418010
292,salalah,17.0151,54.0924,80.69,94,75,2.3,OM,1693418010
293,shalya,57.2471,58.7298,47.03,98,100,9.55,RU,1693418010
294,aldama,22.9167,-98.0667,96.8,34,31,6.6,MX,1693418010
295,sola,-13.8833,167.55,78.1,89,90,6.24,VU,1693418010
296,ixtapa,20.7,-105.2,90.23,60,27,3.0,MX,1693418010
297,kupang,-10.1667,123.5833,71.89,77,16,10.67,ID,1693418010
298,constantia,44.1833,28.65,77.7,78,49,5.41,RO,1693418010
299,bairnsdale,-37.8333,147.6167,45.05,94,64,5.55,AU,1693418011
300,malberg,50.05,6.5833,58.05,100,75,4.61,DE,1693418011
301,daru,-9.0763,143.2092,73.06,74,92,10.29,PG,1693418011
302,gumaca,13.9197,122.1003,79.11,87,100,7.16,PH,1693418011
303,ierapetra,35.01,25.7353,83.14,62,39,1.99,GR,1693418011
304,ghat,24.9647,10.1728,90.84,30,50,13.98,LY,1693418011
305,krasavino,60.9614,46.4814,51.6,92,27,1.25,RU,1693418011
306,port lincoln,-34.7333,135.8667,54.5,76,100,9.46,AU,1693418011
307,lighthouse point,26.2756,-80.0873,93.22,69,0,23.02,US,1693418012
308,durango,24.8333,-104.8333,75.11,47,36,10.47,MX,1693417726
309,uzhur,55.3036,89.8339,57.27,88,100,2.26,RU,1693418012
310,doma,8.3833,8.35,77.43,91,100,4.27,NG,1693418012
311,burang,30.25,81.1667,50.25,81,18,2.55,CN,1693418012
312,tiksi,71.6872,128.8694,32.65,84,92,16.04,RU,1693418012
313,soria,41.6667,-2.6667,69.12,55,67,3.87,ES,1693418012
314,campos belos,-13.0367,-46.7717,89.96,35,35,5.08,BR,1693418012
315,kayangel,8.0823,134.7173,82.81,81,94,13.91,PW,1693418013
316,lloydminster,53.2835,-110.0016,82.4,30,72,13.02,CA,1693418013
317,harper,4.375,-7.7169,77.36,82,67,10.0,LR,1693418013
318,taksimo,56.3444,114.8794,58.5,63,0,1.88,RU,1693418013
319,kankan,10.3854,-9.3057,78.42,83,96,3.69,GN,1693418013
320,nyaungdon,17.0333,95.65,77.92,92,92,4.97,MM,1693418013
321,yangjiang,21.85,111.9667,77.58,86,24,4.85,CN,1693418013
322,hami,42.8,93.45,77.29,31,22,7.67,CN,1693418013
323,linxia chengguanzhen,35.6003,103.2064,58.87,52,36,4.59,CN,1693418014
324,alofi,-19.0595,-169.9187,64.29,88,97,3.44,NU,1693418014
325,kalach,50.4258,41.0261,64.08,36,10,3.11,RU,1693418014
326,sancti spiritus,21.9297,-79.4425,91.56,60,98,13.42,CU,1693418014
327,teluknaga,-6.0989,106.6381,83.37,94,20,4.61,ID,1693418014
328,haiku-pauwela,20.9219,-156.3051,80.04,76,22,15.99,US,1693418014
329,vorkuta,67.5,64.0,49.53,71,100,3.65,RU,1693418014
330,villa madero,19.4,-101.2667,66.88,80,96,3.51,MX,1693418015
331,byron bay,-28.65,153.6167,56.71,86,100,5.73,AU,1693417819
332,opp,31.2827,-86.2555,86.02,62,40,9.22,US,1693418015
333,santa ana de yacuma,-13.75,-65.4333,98.55,39,40,11.5,BO,1693418015
334,corumba,-19.0092,-57.6533,94.71,49,0,11.5,BR,1693418015
335,paka,4.6374,103.4368,78.73,100,84,0.0,MY,1693418015
336,west bay,19.3667,-81.4167,89.67,74,20,11.5,KY,1693418015
337,mata-utu,-13.2816,-176.1745,80.31,82,98,24.05,WF,1693418015
338,surazh,53.0175,32.3918,71.46,69,36,9.31,RU,1693418015
339,al kharj,24.155,47.3346,104.58,11,11,11.07,SA,1693418016
340,tobol,52.6844,62.5794,48.79,91,100,17.16,KZ,1693418016
341,luderitz,-26.6481,15.1594,62.33,74,27,10.02,NA,1693418016
342,st. john's,47.5649,-52.7093,72.79,76,75,12.66,CA,1693418016
343,ancud,-41.8697,-73.8203,48.02,68,17,17.6,CL,1693418016
344,ferny grove,-27.4034,152.9331,57.61,92,0,5.75,AU,1693418016
345,bugul'ma,54.55,52.8,52.77,53,30,12.68,RU,1693418016
346,sinop,41.7711,34.8709,73.69,49,0,3.67,TR,1693418017
347,svetlyy,54.675,20.1347,64.45,94,98,5.08,RU,1693418017
348,mahabad,36.7631,45.7222,68.29,55,78,3.02,IR,1693418017
349,alice springs,-23.7,133.8833,49.55,62,0,0.0,AU,1693417752
350,bakchar,57.0186,82.0711,58.68,82,64,7.67,RU,1693418017
351,macusani,-14.0833,-70.4333,50.14,57,29,9.6,PE,1693418017
352,vilyuchinsk,52.9306,158.4028,46.67,84,3,8.55,RU,1693418017
353,fuglafjordur,62.244,-6.814,50.47,81,100,7.96,FO,1693418018
354,urzhar,47.093,81.6294,71.64,32,22,5.08,KZ,1693418018
355,tabuk,17.4189,121.4443,75.79,90,100,2.44,PH,1693418018
356,nova sintra,14.8667,-24.7167,73.83,88,100,15.32,CV,1693418018
357,marsh harbour,26.5412,-77.0636,88.2,69,12,22.19,BS,1693418018
358,veinticinco de mayo,-35.4323,-60.1727,72.99,32,60,11.01,AR,1693418018
359,callaway,30.153,-85.5699,91.9,68,75,18.41,US,1693418018
360,villa gesell,-37.2639,-56.973,64.06,52,91,16.31,AR,1693417722
361,kamikawa,43.84,142.7711,67.62,95,70,5.82,JP,1693418018
362,vostochnyy,55.8167,37.8667,61.84,70,42,4.07,RU,1693418019
363,yunfu,22.9306,112.0373,74.88,89,11,2.71,CN,1693418019
364,lebu,-37.6167,-73.65,52.47,66,40,8.12,CL,1693418019
365,bandarbeyla,9.4942,50.8122,78.04,81,9,32.12,SO,1693418019
